,,,,,,,,,,,CASE DIMENSIONS,,,,,
LA,HLL-455-BLU,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-455-GRN,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-455-ORG,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-455-PNK,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-455-RED,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-455-YEL,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-460-BLU,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-460-GRN,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-460-ORG,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-460-PNK,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-460-RED,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-460-YEL,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-465-BLU,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-465-GRN,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-465-ORG,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-465-PNK,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-465-RED,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-465-YEL,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-470-CLR,High Speed Clear Polyester Circle Labels,Sheets,High Speed Clear Polyester Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Clear Polyester,,,,,Pack,#N/A
LA,HLL-475-CLR,High Speed Clear Polyester Circle Labels,Sheets,High Speed Clear Polyester Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,Clear Polyester,,,,,Pack,#N/A
LA,HLL-480-CLR,High Speed Clear Polyester Circle Labels,Sheets,High Speed Clear Polyester Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,Clear Polyester,,,,,Pack,#N/A
LA,HLL-500,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1/2 x 3/4,224,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-501,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1/2 x 1,160,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-502,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1/2 x 1-3/4,96,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-503,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1 x 1,80,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-504,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-1/2 x 1/2,100,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-505,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-1/2 x 1,50,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-506,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-1/2 x 1-1/2,35,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-507,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-1/2 x 4-3/4,10,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-508,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-509,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 2/3,60,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-510,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2 x 1-1/4,32,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-511,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-512,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/6 x 1,33,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-513,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/6 x 1-3/8,24,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-514,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/6 x 1-1/2,21,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-515,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/8 x 1,30,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-516,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-3/4 x 2-3/4,9,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-517,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3 x 5,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-518,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-3/8 x 2-1/3,8,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-519,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-1/2 x 2,10,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-520,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-1/2 x 5,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-521,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-7/16 x 2/3,30,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-522,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 1,20,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-523,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 1-1/3,14,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-524,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 1-1/2,12,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-525,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 2,10,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-526,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 2-1/2,8,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-527,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 3,6,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-528,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 3-1/3,6,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-529,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 4,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-530,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 5,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-531,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,4 x 6,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-532,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 2,10,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-533,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 2-3/4,8,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-534,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 5-1/2,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-535,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,4-1/4 x 7,4,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-536,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,4-1/4 x 13,2,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-537,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,7-1/2 x 2,5,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-538,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,8 x 3-1/2,3,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-539,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,8-1/2 x 5-1/2,2,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-540,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,8-1/2 x 11,1,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-541,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,8-1/2 x 14,1,100,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-550-BLU,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-550-GRN,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-550-ORG,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-550-PNK,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-550-RED,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-550-YEL,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,100,Quadrilateral,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-551-BLU,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-15/16 x 1/2,80,100,Quadrilateral,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-551-GRN,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-15/16 x 1/2,80,100,Quadrilateral,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-551-ORG,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-15/16 x 1/2,80,100,Quadrilateral,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-551-PNK,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-15/16 x 1/2,80,100,Quadrilateral,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-551-RED,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-15/16 x 1/2,80,100,Quadrilateral,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-551-YEL,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,1-15/16 x 1/2,80,100,Quadrilateral,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-552-BLU,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-552-GRN,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-552-ORG,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-552-PNK,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-552-RED,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-552-YEL,High Speed Fluorescent Colored Laser Labels,Sheets,High Speed Fluorescent Colored Laser Labels on a Sheet,8-1/2 x 11,2 x 2,20,100,Quadrilateral,Fluorescent Yellow,,,,,Pack,#N/A
